country_code,permalink,category_list,funding_round_type,raised_amount_usd
GBR,bicycle-therapeutics,Biotechnology,venture,32000000.0
GBR,bidvine,Local Advertising,venture,1640000.0
GBR,big-data-for-humans,Big Data,venture,1240000.0
GBR,big-data-partnership,Big Data,venture,2092750.0
GBR,big-data-partnership,Big Data,venture,4714577.0
GBR,big-health,Health Care,venture,3300000.0
GBR,bigballs-media,Business Services,venture,10731588.0
GBR,bigdna,Biotechnology,venture,614000.0
GBR,bigdna,Biotechnology,venture,2413477.0
GBR,bigstep-com,Customer Service,venture,6500000.0
GBR,billetto,E-Commerce,venture,2877820.0
GBR,bioceramic-therapeutics,Biotechnology,venture,1900000.0
GBR,biocontrol,Biotechnology,venture,1018959.0
GBR,biofortuna,Biotechnology,venture,2017328.0
GBR,biofortuna,Biotechnology,venture,1590000.0
GBR,biometric-security,Security,venture,2004450.0
GBR,biometric-security,Security,venture,1970000.0
GBR,biometric-security,Security,venture,5500000.0
GBR,biomonde,Health and Wellness,venture,5864512.0
GBR,biotronics3d,3D,venture,308848.0
GBR,biotronics3d,3D,venture,1706258.0
GBR,biovex,Biotechnology,venture,28314585.0
GBR,biovex,Biotechnology,venture,40000000.0
GBR,biovex,Biotechnology,venture,30000000.0
GBR,biovex,Biotechnology,venture,35000000.0
GBR,bioxydyn,Biotechnology,venture,1933105.0
GBR,bitstamp,Bitcoin,venture,10000000.0
GBR,bizk-it,Enterprise Software,venture,1000000.0
GBR,bizzby,Software,venture,10000000.0
GBR,blackbay,Enterprise Software,venture,6110000.0
GBR,blackbay,Enterprise Software,venture,136474.0
GBR,blink-9,Location Based Services,venture,30000000.0
GBR,blink-air-taxi,Transportation,venture,30000000.0
GBR,blinkbox-music,Music,venture,6000000.0
GBR,blismobile,Advertising,venture,1400000.0
GBR,bloom-wild,E-Commerce,venture,3878283.0
GBR,blottr,Content,venture,612000.0
GBR,blue-earth-diagnostics,Clinical Trials,venture,28040440.0
GBR,blue-ronin-limited,Enterprises,venture,526304.0
GBR,bluebell,Web Hosting,venture,6124490.0
GBR,blueheath,Groceries,venture,6686126.0
GBR,blueheath,Groceries,venture,4083474.0
GBR,blueheath,Groceries,venture,4722711.0
GBR,bluewater-bio,Clean Technology,venture,35765086.0
GBR,bluwan,Internet,venture,3272210.0
GBR,boats-com,Curated Web,venture,21000000.0
GBR,bookingbug,Enterprise Software,venture,1000000.0
GBR,bookmate,E-Books,venture,3000000.0
GBR,bookmate,E-Books,venture,3000000.0
GBR,borro,Finance,venture,112000000.0
GBR,borro,Finance,venture,26000000.0
GBR,borro,Finance,venture,2500000.0
GBR,borro,Finance,venture,12072758.0
GBR,borro,Finance,venture,19000000.0
GBR,boticca-com-limited,E-Commerce,venture,4000000.0
GBR,bourn-hall-clinic,Biotechnology,venture,5303380.0
GBR,bowman-power,Clean Technology,venture,6700000.0
GBR,bowman-power,Clean Technology,venture,4545754.0
GBR,bragster,Social Media,venture,3500000.0
GBR,brainbow,Education,venture,7000000.0
GBR,brainient,Advertising,venture,1800000.0
GBR,brainomix,Medical Devices,venture,1963489.0
GBR,brandid,Fashion,venture,2137671.0
GBR,brandwatch,Analytics,venture,6000000.0
GBR,brandwatch,Analytics,venture,1500000.0
GBR,brandwatch,Analytics,venture,22000000.0
GBR,brandwatch,Analytics,venture,33000000.0
GBR,break30,Sports,venture,295000.0
GBR,breathing-buildings,Clean Technology,venture,1788171.0
GBR,breathing-buildings,Clean Technology,venture,1615513.0
GBR,breeze-tech,Enterprise Software,venture,1580000.0
GBR,brightblue,Enterprise Software,venture,1612144.0
GBR,broadbandchoices,Curated Web,venture,16130527.0
GBR,buddybounce,Analytics,venture,435823.0
GBR,bullguard,Software,venture,5000000.0
GBR,busuu,EdTech,venture,6700000.0
